,Date,Sell_Fiat_Amount
135,10/23/2021,7487.209071443288
136,10/23/2021,7506.184211603288
137,10/23/2021,7517.079754412054
138,10/23/2021,7517.079754412054
243,04/15/2021,1545.9597707238595
245,04/15/2021,1544.4773087095186
249,04/13/2021,1591.5252212917494
251,04/13/2021,1592.1763060218448
254,04/08/2021,1360.0173245941478
299,02/28/2021,382.0751288996774
308,02/23/2021,510.6813943728
310,02/23/2021,512.945670678
322,02/08/2021,723.8086693845
326,02/08/2021,762.1381444717
330,02/06/2021,653.9188863152999
335,02/06/2021,542.6632940795
340,02/06/2021,557.37744831
345,02/05/2021,527.4740315416001
347,02/05/2021,527.4740315416001
351,02/05/2021,523.0552421601
